Jenkins County,B-,Same as yesterday
Marion County,B-,Same as yesterday
Madison County,B-,Same as yesterday
Shelby County,B-,Same as yesterday
Fayette County,B-,Same as yesterday
Howard County,B-,Same as yesterday
Jones County,B-,Same as yesterday
Chickasaw County,B-,Same as yesterday
Allamakee County,B-,Same as yesterday
Benton County,B-,Same as yesterday
Cherokee County,B-,Same as yesterday
Kossuth County,B-,Same as yesterday
Lyon County,B-,Same as yesterday
Clayton County,B-,Same as yesterday
Van Buren County,B-,Same as yesterday
Humboldt County,B-,Same as yesterday
Clearwater County,B-,Same as yesterday
Teton County,B-,Same as yesterday
Franklin County,B-,Same as yesterday
Owyhee County,B-,Same as yesterday
Idaho County,B-,Same as yesterday
Adams County,B-,Same as yesterday
Henderson County,B-,Same as yesterday
Ford County,B-,Same as yesterday
Mason County,B-,Same as yesterday
Jo Daviess County,B-,Same as yesterday
Marshall County,B-,Same as yesterday
Hamilton County,B-,Same as yesterday
Edwards County,B-,Same as yesterday
Jasper County,B-,Same as yesterday
Warren County,B-,Same as yesterday
Crawford County,B-,Same as yesterday
Cloud County,B-,Same as yesterday
Wilson County,B-,Same as yesterday
Norton County,B-,Same as yesterday
Ottawa County,B-,Same as yesterday
Osage County,B-,Same as yesterday
Lane County,B-,Same as yesterday
Osborne County,B-,Same as yesterday
Greenwood County,B-,Same as yesterday
Wallace County,B-,Same as yesterday
Anderson County,B-,Same as yesterday
Harper County,B-,Same as yesterday
Grant County,B-,Same as yesterday
Lewis County,B-,Same as yesterday
Bracken County,B-,Same as yesterday
Edmonson County,B-,Same as yesterday
Cumberland County,B-,Same as yesterday
Metcalfe County,B-,Same as yesterday
Bath County,B-,Same as yesterday
Carlisle County,B-,Same as yesterday
Lee County,B-,Same as yesterday
McLean County,B-,Same as yesterday
Casey County,B-,Same as yesterday
Jackson County,B-,Same as yesterday
Ballard County,B-,Same as yesterday
Todd County,B-,Same as yesterday
Claiborne Parish,B-,Same as yesterday
Winn Parish,B-,Same as yesterday
East Carroll Parish,B-,Same as yesterday
Franklin County,B-,Same as yesterday
Washington County,B-,Same as yesterday
Missaukee County,B-,Same as yesterday
Chippewa County,B-,Same as yesterday
Wabasha County,B-,Same as yesterday
